id;code;name;description;active
1;what;likewise certification;imaginative enthusiastically;true
2;underachieve dissemble;soon whose;designation gadzooks once;true
3;welcome;suitcase;once;true
4;singe pfft;issue boulevard;aged excluding;true
5;reluctantly scrap crocodile;hmph yowza;primary after inscribe;false
6;watery for correctly;into angelic;decent when;true
7;ah uncomfortable ugh;bemuse;sweet yearningly;false
8;yuck;drat;deserted and;false
9;above as;word without linseed;arrogantly;true
10;aboard among;intend into;maintainer below well-documented;true
