id;code;name;description;active
1;humble;reluctantly;among if rag;true
2;wrongly onto;vaguely gadzooks apropos;gleaming joshingly;true
3;because an downshift;reluctantly cinch;intent;false
4;since;including clumsy instead;enormously tapioca yowza;false
5;profuse cripple astride;of although;atop;false
6;overstay finally;excited brr;yuck psst adventurously;false
7;except finally pfft;blah;nearly kookily;false
8;bitterly um;unaccountably neatly oh;between nor;true
9;sushi;lest eventually;shrilly excepting husk;false
10;grown er;notwithstanding aboard;phew custody;true
