id;code;name;description;estimated_duration;estimated_duration_unit;requires_physical_presence;is_electronic;has_smart_card;fees_description;active
1;mmm underneath ha;who who know;../fake-data/blob/hipster.txt;12641;WEEK;false;true;false;into;true
2;tuber where encode;finally ugh while;../fake-data/blob/hipster.txt;23579;WEEK;true;false;false;including hm yet;false
3;midwife;degenerate fencing;../fake-data/blob/hipster.txt;11332;MINUTE;true;false;false;beyond whenever inwardly;false
4;monthly;sad hastily extremely;../fake-data/blob/hipster.txt;14093;MINUTE;true;true;false;incline royal;false
5;supposing and;anti pro purple;../fake-data/blob/hipster.txt;4012;MINUTE;true;false;false;yummy focalise inwardly;true
6;at;loyalty and;../fake-data/blob/hipster.txt;3838;WEEK;true;false;true;offensively catalog carp;true
7;ah which;gee up;../fake-data/blob/hipster.txt;22536;HOUR;true;true;false;clamour yowza gallery;false
8;ack metallic;ick although;../fake-data/blob/hipster.txt;6749;WEEK;true;true;false;motionless phew through;true
9;boldly;ick kookily;../fake-data/blob/hipster.txt;28272;DAY;true;true;false;properly strategy;false
10;although;bitter well-lit;../fake-data/blob/hipster.txt;21126;MINUTE;true;false;false;how;false
