id;name;description;mandatory;order_index
1;questionably annually fleck;dicker except;false;12068
2;cauliflower unless;yearly golden linseed;true;26287
3;front density;roughly accomplished where;true;15588
4;since dead;likewise vaguely duh;false;20448
5;natural lightly;retool sans;false;13707
6;partial whereas hastily;bossy fondly final;true;10134
7;forgather;authentic;false;9040
8;continually punctuation;lox;true;9221
9;thankfully why;before utter;false;24275
10;disrespect;behind around regarding;false;20853
